uuid,Void/Retire,Fully specified name:en,Short name:en,Fully specified name:fr,Short name:fr,Description:en,Data class,Data type,Answers,Members,id,Mappings|SAME-AS|PIH,Mappings|NARROWER-THAN|PIH,Mappings|SAME-AS|CBS,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|NARROWER-THAN|Rwanda HMIS Report 2012 01 20,Mappings|NARROWER-THAN|RWCS,Mappings|SAME-AS|RxNORM,Mappings|NARROWER-THAN|RxNORM,Mappings|SAME-AS|SNOMED CT,Mappings|NARROWER-THAN|SNOMED CT,Mappings|SAME-AS|ICPC-2,Mappings|NARROWER-THAN|LOINC,Mappings|SAME-AS|ICD-10,Mappings|NARROWER-THAN|ICD-10,Mappings|BROADER-THAN|ICD-10,Absolute high,Critical high,Normal high,Absolute low,Normal low,Units,Allow decimals,Complex data handler
3ce67f8a-26fe-102b-80cb-0017a47871b2,, 2 HRZE 7 / 4 RH 7,,,,"2 months of rifampicin, isoniazid, pyrazinamide, and ethambutol 7 days a week follwed by 4 months of rifampicin and isoniazid 7 days a week",Misc,Text,,,2691.0,,2 HRZE 7 / 4 RH 7;2691,,,,,,,,,,,,,,,,,,,,,,
78487c36-4db5-47ff-84f7-79c6b853894a,," Acute paralytic poliomyelitis, wild virus, indigenous",,,,,Diagnosis,Text,,,12588.0,,,,,,,,,,,,,,,A80.2,,,,,,,,,
ac8650b5-769b-4fd5-94ee-d6db597971ef,," Amoebiasis, unspecified",,,,,Diagnosis,Text,,,12537.0,,,,,,,,,,,,,,,A06.9,,,,,,,,,
1ba30eaa-6702-4d20-94ef-1063883e8106,, Anomalies of tooth position,,,,,Diagnosis,Coded,"Rotation;Crowding;Diastema;Transposition;Spacing, abnormal;Displacement",,12029.0,,,,,,,,,,,,,,,,,,,,,,,,
ccb577d0-9607-44ee-8bfb-e736eb424c3c,, Aplasia and hypoplasia of cementum,,,,,Diagnosis,Text,,,11732.0,,,,,,,,,,,,,,,,,,,,,,,,
c1cad902-55fd-4f2d-88da-780ffb078efc,, Caries limited to enamel,,,,,Diagnosis,Text,,,12566.0,,,,,,,,,,,,,,,K02.0,,,,,,,,,
787b9579-fa0e-47a9-aad0-0c835a37ada0,, Dentinal dysplasia,,,,,Diagnosis,Text,,,11737.0,,,,,,,,,,,,,,,,,,,,,,,,
5c513439-c074-4e16-a1eb-cf6a280ebf17,, Epithelial disturbances of tongue,,,,,Diagnosis,Text,,,11907.0,,,,,,,,,,,,,,,,,,,,,,,,
c305fa81-d776-4c0a-b359-e07976e1ed7b,, Fracture of navicular [scaphoid] bone of hand,,,,,Diagnosis,Text,,,12342.0,,,,,,,,,,,,,,,S62.0,,,,,,,,,
30086ef2-9fbb-4e9f-a4cb-495fda618489,," Gastroduodenitis, unspecified",,,,,Diagnosis,Text,,,12572.0,,,,,,,,,,,,,,,K29.9,,,,,,,,,
11896bcd-defc-4d77-888a-df6b904fe3d0,, HIV disease resulting in other specified conditions,,,,,Diagnosis,Text,,,12576.0,,,,,,,,,,,,,,,,,,,,,,,,
