uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,Mappings|SAME-AS|PIH,Mappings|NARROWER-THAN|PIH,Mappings|SAME-AS|CBS,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|NARROWER-THAN|Rwanda HMIS Report 2012 01 20,Mappings|NARROWER-THAN|RWCS,Mappings|SAME-AS|RxNORM,Mappings|NARROWER-THAN|RxNORM,Mappings|SAME-AS|SNOMED CT,Mappings|NARROWER-THAN|SNOMED CT,Mappings|NARROWER-THAN|RSMS,Mappings|SAME-AS|ICPC-2,Mappings|SAME-AS|ICD-10,Mappings|NARROWER-THAN|ICD-10,Mappings|BROADER-THAN|ICD-10,Absolute high,Critical high,Normal high,Absolute low,Normal low,Units,Allow decimals,Complex data handler
954520ad-ee6b-469e-9bd7-edc1a9495538,,NPC,NPC,epresanting NPC Product,Drug,,,,,,,,,,,,,,,,,,,,,,,,,,,
4be49281-12ee-4051-b8ed-8c641573b1bc,,Rotavirus 1,,Rotavirus 1,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
680584b4-1125-4328-a978-cd89a0b42bd0,,Rotavirus 2,,Rotavirus 2,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
116e4f0a-7939-4199-b505-db4e7c0d568f,,Premier traitment 2 HRZE/ 4 RH,,Premier traitment 2 HRZE/ 4 RH,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
49820e7d-8b61-4a27-82e0-7456f9a5ee50,,TENOFOVIR LAMIVUDINE AND ATAZANAVIR,,TENOFOVIR LAMIVUDINE AND ATAZANAVIR,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
5642efe3-699e-49b3-ac2b-8b0c9cc947c7,,ABACAVIR LAMIVUDINE EFAVIRENZ,,ABACAVIR LAMIVUDINE EFAVIRENZ,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
beffbf40-73d8-4844-9ae0-4bfad0e8cca2,,TENOFOVIR LAMIVUDINE AND LIPONAVIR,,TENOFOVIR LAMIVUDINE AND LIPONAVIR,Drug,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
5cf11a54-1694-44c1-a53e-2732129d2324,,ABACAVIR LAMIVUDINE AND DOLUTEGRAVIR,,ABACAVIR LAMIVUDINE AND DOLUTEGRAVIR,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
2ec60373-4aca-4ecd-b4bc-445f0ec3d381,,OTHER PMTCT REGIMEN,,OTHER PMTCT REGIMEN,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
c1624e14-2880-43b7-8a21-5bda3fa5d875,,Zidovudine Lamivudine and Atazanavir,,Zidovudine Lamivudine and Atazanavir,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
2a039e2f-384b-495a-9903-284afe4b2b91,,OTHER PROPHYLAXIS POST EXPOSITION DRUG,,OTHER PROPHYLAXIS POST EXPOSITION DRUG,Drug,Text,,,,,,,,,,,,,,,,,,,,,,,,,,
