uuid,Void/Retire,Fully specified name:en,Short name:en,Fully specified name:fr,Short name:fr,Description:en,Data class,Data type,Answers,Members,Mappings|SAME-AS|PIH,Mappings|NARROWER-THAN|PIH,Mappings|SAME-AS|CBS,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|NARROWER-THAN|Rwanda HMIS Report 2012 01 20,Mappings|NARROWER-THAN|RWCS,Mappings|SAME-AS|RxNORM,Mappings|NARROWER-THAN|RxNORM,Mappings|SAME-AS|SNOMED CT,Mappings|NARROWER-THAN|SNOMED CT,Mappings|NARROWER-THAN|RSMS,Mappings|SAME-AS|ICPC-2,Mappings|SAME-AS|ICD-10,Mappings|NARROWER-THAN|ICD-10,Mappings|BROADER-THAN|ICD-10,Absolute high,Critical high,Normal high,Absolute low,Normal low,Units,Allow decimals,Complex data handler
1d644f08-2393-11ed-86fe-3acf1f83574b,,"Abdomen, not otherwise specified - PAK",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
290c731c-2393-11ed-86fe-3acf1f83574b,,Abdominal aortic bypass - HIH.LI.AA,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
4ef7c600-2393-11ed-86fe-3acf1f83574b,,Abdominal drainage - PAK.JB.AA,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1be4d86a-2393-11ed-86fe-3acf1f83574b,,Abdominal or pelvic artery - IEA,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1be6925d-2393-11ed-86fe-3acf1f83574b,,Abdominal or pelvic vein - IED,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1d69aedf-2393-11ed-86fe-3acf1f83574b,,"Abdominal wall, femoral - PAN",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1d67839b-2393-11ed-86fe-3acf1f83574b,,"Abdominal wall, inguinal - PAM",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1d6642d9-2393-11ed-86fe-3acf1f83574b,,"Abdominal wall, not otherwise specified - PAL",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1d6ae4ce-2393-11ed-86fe-3acf1f83574b,,"Abdominal wall, umbilical - PAO",,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
3e98eb8a-2393-11ed-86fe-3acf1f83574b,,Abdominopelvic amputation - MKJ.JN.AA,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
3eb6b46b-2393-11ed-86fe-3acf1f83574b,,Above knee amputation - MLB.JN.AA,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1dffb5bd-2393-11ed-86fe-3acf1f83574b,,Acquiring a place to live - SNC,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1d90f5f3-2393-11ed-86fe-3acf1f83574b,,Acquiring an additional language - SBD,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1d92bf43-2393-11ed-86fe-3acf1f83574b,,Acquiring concepts - SBG,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1d93cfe6-2393-11ed-86fe-3acf1f83574b,,Acquiring information - SBH,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1d90157a-2393-11ed-86fe-3acf1f83574b,,Acquiring language - SBC,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1d97889c-2393-11ed-86fe-3acf1f83574b,,Acquiring skills - SBQ,,,,,ICHI,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
