uuid,Void/Retire,Name,Description,Tags,address 1,City/Village,State/Province,Country,Latitude,Longitude,County/District
2860a643-6306-49c0-a2d0-32d494ac53be,0,Location-1153,FOSAID: 1235 TYPE: DISP,Login Location,Agasaro,Kacyiru,Kigali Province,Rwanda,,,Gasabo
8d6c993e-c2cc-11de-8d13-0010c6dffd0f,1,Location-1,UNKNOWN 8765456 UNKNOWN,Login Location,,,,,,,
162bc695-2a78-460e-a160-2959a91ac1b9,0,Location-2,FOSAID: 1101 TYPE: CS,Login Location,,Ntarama,Eastern Province/Uburasirazuba,Rwanda,,,BUGESERA
d8e85023-12b5-4fb1-b871-4ee390bd51b8,0,Location-3,FOSAID: 446 TYPE: CS,Login Location,,Musenyi,Eastern Province/Uburasirazuba,Rwanda,-2.18537,30.02538,BUGESERA
d1f86a18-1af0-4a89-b454-f749fb711aac,0,Location-4,FOSAID: 604 TYPE: CS,Login Location,,Ngeruka,Eastern Province/Uburasirazuba,Rwanda,,,BUGESERA
80302b92-065f-463c-b793-bcdc298f06f1,0,Location-5,FOSAID: 603 TYPE: CS,Login Location,,,Eastern Province/Uburasirazuba,Rwanda,,,BUGESERA
aa06dee5-d2ab-4fce-8f7b-d8fe7d812a97,0,Location-6,FOSAID: 458 TYPE: CS,Login Location,,Ruhuha,Eastern Province/Uburasirazuba,Rwanda,-2.31,30.05442,BUGESERA
f01de7a9-ed0f-4a2e-9c08-c5c24b8292b4,0,Location-7,FOSAID: 457 TYPE: CS,Login Location,,Ririma,Eastern Province/Uburasirazuba,Rwanda,-2.17997,30.2239,BUGESERA
063a0031-ef72-4efc-901c-263abaa82583,0,Location-8,FOSAID: 455 TYPE: CS,Login Location,,Rweru,Eastern Province/Uburasirazuba,Rwanda,-2.33945,30.26522,BUGESERA
762d8a79-2639-4c7b-a41f-d954033512c1,0,Location-9,FOSAID: 454 TYPE: HD,Login Location,,Nyamata,Eastern Province/Uburasirazuba,Rwanda,-2.13847,30.07988,BUGESERA
ec098275-651d-4852-9603-aa0e1d88297f,0,Location-10,FOSAID: 448 TYPE: CS,Login Location,,Shyara,Eastern Province/Uburasirazuba,Rwanda,-2.27062,30.00759,BUGESERA
455d272e-6946-48f9-94e4-032b64d524de,0,Location-11,FOSAID: 447 TYPE: CS,Login Location,,Gashora,Eastern Province/Uburasirazuba,Rwanda,-2.20553,30.24503,BUGESERA
47ff3a2d-1e62-4fce-941e-462df4a27d95,0,Location-12,FOSAID: 449 TYPE: CS,Login Location,,Kamabuye,Eastern Province/Uburasirazuba,Rwanda,-2.37192,30.13015,BUGESERA
e2cb3aaf-ff96-4b2a-be26-a625e3dbaf2e,0,Location-13,FOSAID: 450 TYPE: CS,Login Location,,Mareba,Eastern Province/Uburasirazuba,Rwanda,-2.24782,30.07023,BUGESERA
7619795b-32b1-4ac6-97cd-c4f3c16017b2,0,Location-14,FOSAID: 451 TYPE: CS,Login Location,,Mayange,Eastern Province/Uburasirazuba,Rwanda,-2.20678,30.14458,BUGESERA
561281ab-53e9-47d4-ab21-c3b16adf289e,0,Location-15,FOSAID: 452 TYPE: CS,Login Location,,Mwogo,Eastern Province/Uburasirazuba,Rwanda,-2.0844,30.15665,BUGESERA
95d069b1-efb9-4f6e-9a56-6b3c9e5c251a,0,Location-16,FOSAID: 453 TYPE: CS,Login Location,,Nyamata,Eastern Province/Uburasirazuba,Rwanda,-2.14697,30.09117,BUGESERA
1f4fde47-bdfe-46d8-ae68-cb90040b4a0c,0,Location-17,FOSAID: 606 TYPE: CS,Login Location,,Gatsibo,Eastern Province/Uburasirazuba,Rwanda,-1.58255,30.2391,GATSIBO
fe35d997-1a2b-4bc4-81c7-09ec4d7c62ea,0,Location-18,FOSAID: 463 TYPE: CS,Login Location,,Gatsibo,Eastern Province/Uburasirazuba,Rwanda,-1.59519,30.25964,GATSIBO
2ef74356-1328-4685-81b9-c30af49bf79d,0,Location-19,FOSAID: 561 TYPE: CS,Login Location,,Gitoki,Eastern Province/Uburasirazuba,Rwanda,-1.64262,30.32248,GATSIBO
b7c44712-05de-4345-896a-f486f66d9fa0,1,Location-20,FOSAID: 610 TYPE: CS,Login Location,,,Eastern Province/Uburasirazuba,Rwanda,-1.59375,30.27029,GATSIBO
3896a9b5-82f6-4238-a52f-fb3ce3e6e795,0,Location-21,FOSAID: 392 TYPE: CS,Login Location,,Kageyo,Eastern Province/Uburasirazuba,Rwanda,-1.67965,30.27093,GATSIBO
da0f9c8f-f13a-4ec9-9aba-ddb2251d8bf1,0,Location-22,FOSAID: 402 TYPE: CS,Login Location,,Rwimbogo,Eastern Province/Uburasirazuba,Rwanda,-1.60716,30.50248,GATSIBO
5500aa01-a74f-4bc1-ace1-102db992fea7,0,Location-23,FOSAID: 401 TYPE: CS,Login Location,,Rugarama,Eastern Province/Uburasirazuba,Rwanda,-1.70047,30.41063,GATSIBO
81fdd494-2823-4e52-9e95-7be66a0bd7c9,0,Location-24,FOSAID: 400 TYPE: CS,Login Location,,Nyagihanga,Eastern Province/Uburasirazuba,Rwanda,-1.53526,30.17923,GATSIBO
acbb0b68-c92b-453c-bf38-277917137dc8,0,Location-25,FOSAID: 399 TYPE: CS,Login Location,,Gatsibo,Eastern Province/Uburasirazuba,Rwanda,-1.60967,30.22053,GATSIBO
93e59c54-df61-41e6-987d-c2a9e0ae4352,0,Location-26,FOSAID: 398 TYPE: HD,Login Location,,Ngarama,Eastern Province/Uburasirazuba,Rwanda,-1.5462,30.24285,GATSIBO
f1d046c0-e556-4b0f-83b4-21964d0a0b47,0,Location-27,FOSAID: 396 TYPE: CS,Login Location,,Muhura,Eastern Province/Uburasirazuba,Rwanda,-1.75873,30.29203,GATSIBO
ba0166b8-acef-47f0-9e62-59c88902f1af,0,Location-28,FOSAID: 403 TYPE: CS,Login Location,,Murambi,Eastern Province/Uburasirazuba,Rwanda,-1.81617,30.3455,GATSIBO
cbeb1325-22e8-4e1f-a0b3-e1cc96c06c9a,0,Location-29,FOSAID: 393 TYPE: CS,Login Location,,Kabarore,Eastern Province/Uburasirazuba,Rwanda,-1.56397,30.31911,GATSIBO
1f726738-f007-4951-8bc3-c144e8bda6c2,0,Location-30,FOSAID: 397 TYPE: CS,Login Location,,Ngarama,Eastern Province/Uburasirazuba,Rwanda,-1.54608,30.25975,GATSIBO
33b97f93-1d26-4b5d-ac28-3b84284717ee,0,Location-31,FOSAID: 391 TYPE: CS,Login Location,,Kabarore,Eastern Province/Uburasirazuba,Rwanda,-1.62425,30.38868,GATSIBO
22cd68da-964d-4e34-9361-b8444233b8a8,0,Location-32,FOSAID: 390 TYPE: CS,Login Location,,Remera,Eastern Province/Uburasirazuba,Rwanda,-1.683,30.30633,GATSIBO
99302bef-11fb-44f9-9526-7792cffb6924,0,Location-33,FOSAID: 389 TYPE: CS,Login Location,,Kageyo,Eastern Province/Uburasirazuba,Rwanda,-1.61922,30.29185,GATSIBO
64084893-e033-472a-87ce-4e3d40814e50,0,Location-34,FOSAID: 388 TYPE: CS,Login Location,,Gasange,Eastern Province/Uburasirazuba,Rwanda,-1.80927,30.29713,GATSIBO
11871102-69f1-4a74-847a-ae58468e4107,0,Location-35,FOSAID: 387 TYPE: CS,Login Location,,Kiramuruzi,Eastern Province/Uburasirazuba,Rwanda,-1.80162,30.4164,GATSIBO
4e92360e-e38f-4fae-839c-a552f5b78691,0,Location-36,FOSAID: 386 TYPE: CS,Login Location,,Remera,Eastern Province/Uburasirazuba,Rwanda,-1.73338,30.33777,GATSIBO
78e1cd5a-835c-46c4-8a46-b88fbcc92df0,0,Location-37,FOSAID: 394 TYPE: CS,Login Location,,Kiziguro,Eastern Province/Uburasirazuba,Rwanda,-1.76625,30.3848,GATSIBO
5e371ba7-4c27-4b88-a7b6-f6922f436805,0,Location-38,FOSAID: 395 TYPE: HD,Login Location,,Kiziguro,Eastern Province/Uburasirazuba,Rwanda,-1.76667,30.38478,GATSIBO
3944a41f-a7c7-4d04-a282-5e33d32e6bce,0,Location-39,FOSAID: 414 TYPE: CS,Login Location,,Ruramira,Eastern Province/Uburasirazuba,Rwanda,-1.98153,30.5041,KAYONZA
2885a133-b251-43d0-b114-b1908ef87338,0,Location-40,FOSAID: 418 TYPE: CS,Login Location,,Murundi,Eastern Province/Uburasirazuba,Rwanda,-1.71842,30.48367,KAYONZA
295bd10a-9eab-46ec-80bd-88c0062a358a,0,Location-41,FOSAID: 594 TYPE: CS,Login Location,,Mwiri,Eastern Province/Uburasirazuba,Rwanda,-1.8394,30.65387,KAYONZA
